"s"	"review"	"id"	"category"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/18142329-ecd6-4a77-9e2b-91da75294ec7"	"Good food."	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/3cixty/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/18142329-ecd6-4a77-9e2b-91da75294ec7"	"Good food."	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/foursquare/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/1eb0126c-5514-4ff0-b258-cf938786a28d"	"The specialty? and &#39;chicken devilled &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/3cixty/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/1eb0126c-5514-4ff0-b258-cf938786a28d"	"The specialty? and &#39;chicken devilled &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/foursquare/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/33d403f3-ad63-45fb-a26b-b4f7f5b69a03"	"Very good !! &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/3cixty/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/33d403f3-ad63-45fb-a26b-b4f7f5b69a03"	"Very good !! &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/foursquare/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/4fe9403c-a711-43ce-a8ec-659df59c8996"	"Price / quality? not great &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/3cixty/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/4fe9403c-a711-43ce-a8ec-659df59c8996"	"Price / quality? not great &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/foursquare/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/615357bb-b1d4-4aca-8ff1-328f13b05fed"	"The best Jamon serrano of my life &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/3cixty/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/615357bb-b1d4-4aca-8ff1-328f13b05fed"	"The best Jamon serrano of my life &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/foursquare/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/6a89184e-6c11-49e2-8363-6586c2ffb115"	"Prices pi? higher than in Milan center, and we are in the country: one slice of tarte tatin 10 euro. A Quality normal. Bad service. &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/3cixty/italianrestaurant"
"http://data.linkedevents.org/location/ce6f53b4-cd25-4dfd-991f-8ea322f5af10/review/6a89184e-6c11-49e2-8363-6586c2ffb115"	"Prices pi? higher than in Milan center, and we are in the country: one slice of tarte tatin 10 euro. A Quality normal. Bad service. &quot;"	"https://www.foursquare.com/v/antica-trattoria-del-gallo/4bb728b3941ad13a895420e3"	"http://data.linkedevents.org/kos/foursquare/italianrestaurant"
